ID,Name in English,Degree of endangerment,Countries,Number of speakers,country_count,naive_speakers_per_country
1623,Sabanê,Critically endangered,Brazil,3.0,1,3.0
812,Konkow,Critically endangered,United States of America,3.0,1,3.0
580,Canichana,Extinct,Bolivia (Plurinational State of),3.0,1,3.0
836,Southern Pomo,Critically endangered,United States of America,3.0,1,3.0
814,Lake Miwok,Critically endangered,United States of America,3.0,1,3.0
789,Kiowa Apache,Critically endangered,United States of America,3.0,1,3.0
44,Baldemu,Critically endangered,Cameroon,3.0,1,3.0
37,Bung,Critically endangered,Cameroon,3.0,1,3.0
1370,Awakatek (Mexico),Critically endangered,Mexico,3.0,1,3.0
729,Andoa (Peru),Critically endangered,Peru,2.0,1,2.0
1704,Xipáya,Critically endangered,Brazil,2.0,1,2.0
1535,Oneida (New York),Critically endangered,United States of America,2.0,1,2.0
811,Maidu,Critically endangered,United States of America,2.0,1,2.0
26,Luri,Critically endangered,Nigeria,2.0,1,2.0
2508,Lemerig,Critically endangered,Vanuatu,2.0,1,2.0
1672,Kuruáya,Critically endangered,Brazil,2.0,1,2.0
198,Kunjen,Critically endangered,Australia,2.0,1,2.0
1619,Kujubim,Critically endangered,Brazil,2.0,1,2.0
2069,Poyanawa,Critically endangered,Brazil,2.0,1,2.0
1615,Guarasu,Critically endangered,Brazil,2.0,1,2.0
181,Ganggalidda,Critically endangered,Australia,2.0,1,2.0
179,Gajerrong,Critically endangered,Australia,2.0,1,2.0
582,Cayuvava,Critically endangered,Bolivia (Plurinational State of),2.0,1,2.0
287,Baré (Brazil),Critically endangered,Brazil,2.0,1,2.0
1708,Aurê-Aurá,Critically endangered,Brazil,2.0,1,2.0
571,Arikapu,Critically endangered,Brazil,2.0,1,2.0
792,Klallam,Critically endangered,United States of America,2.0,1,2.0
239,Wangaaybuwan,Critically endangered,Australia,2.0,1,2.0
728,Vacacocha,Critically endangered,Peru,2.0,1,2.0
173,Tharkarri,Critically endangered,Australia,2.0,1,2.0
801,Spokane,Critically endangered,United States of America,2.0,1,2.0
1389,Sambe,Critically endangered,Nigeria,2.0,1,2.0
652,Salamãy,Critically endangered,Brazil,2.0,1,2.0
649,Puruborá,Critically endangered,Brazil,2.0,1,2.0
2280,Dampel,Critically endangered,Indonesia,1.0,1,1.0
314,Tinigua,Critically endangered,Colombia,1.0,1,1.0
779,Tolowa,Critically endangered,United States of America,1.0,1,1.0
661,Uru,Extinct,Bolivia (Plurinational State of),1.0,1,1.0
2507,Volow,Critically endangered,Vanuatu,1.0,1,1.0
809,Wintu-Nomlaki,Critically endangered,United States of America,1.0,1,1.0
665,Yahgan,Critically endangered,Chile,1.0,1,1.0
1507,Apiaká,Critically endangered,Brazil,1.0,1,1.0
1398,Bikya,Critically endangered,Cameroon,1.0,1,1.0
1399,Bishuo,Critically endangered,Cameroon,1.0,1,1.0
2060,Chaná,Critically endangered,Argentina,1.0,1,1.0
2711,Yarawi,Critically endangered,Papua New Guinea,1.0,1,1.0
595,Diahói,Critically endangered,Brazil,1.0,1,1.0
1776,Kaixána,Critically endangered,Brazil,1.0,1,1.0
2112,Lae,Extinct,Papua New Guinea,1.0,1,1.0
2113,Laua,Critically endangered,Papua New Guinea,1.0,1,1.0
810,Patwin,Critically endangered,United States of America,1.0,1,1.0
2047,Pazeh,Critically endangered,China,1.0,1,1.0
1966,Pémono,Critically endangered,Venezuela (Bolivarian Republic of),1.0,1,1.0
657,Taushiro,Critically endangered,Peru,1.0,1,1.0
827,New River Shasta,Extinct,United States of America,0.0,1,0.0
2399,Pentlatch,Extinct,Canada,0.0,1,0.0
639,Ona,Extinct,Argentina,0.0,1,0.0
1782,Omagua (Brazil),Critically endangered,Brazil,0.0,1,0.0
1624,Urupá,Extinct,Brazil,0.0,1,0.0
2086,Wangkumara,Critically endangered,Australia,0.0,1,0.0
850,Wappo,Extinct,United States of America,0.0,1,0.0
722,Western Mansi,Extinct,Russian Federation,0.0,1,0.0
774,Wiyot,Extinct,United States of America,0.0,1,0.0
1881,Xakriabá,Extinct,Brazil,0.0,1,0.0
94,Yaaku,Extinct,Kenya,0.0,1,0.0
754,Yameo,Extinct,Peru,0.0,1,0.0
252,Yir Yoront,Extinct,Australia,0.0,1,0.0
2713,Yoba,Extinct,Papua New Guinea,0.0,1,0.0
1601,Yola,Extinct,Ireland,0.0,1,0.0
2281,Orang Kanaq,Extinct,Malaysia,0.0,1,0.0
2606,Palumata,Extinct,Indonesia,0.0,1,0.0
962,Panobo,Extinct,Peru,0.0,1,0.0
2044,Papora,Extinct,China,0.0,1,0.0
130,ǁXegwi,Extinct,South Africa,0.0,1,0.0
547,Phalok,Extinct,Thailand,0.0,1,0.0
645,Pijao,Extinct,Colombia,0.0,1,0.0
2608,Piru,Extinct,Indonesia,0.0,1,0.0
403,Polabian,Extinct,Germany,0.0,1,0.0
1610,Pumpokol,Extinct,Russian Federation,0.0,1,0.0
853,Purisimeño,Extinct,United States of America,0.0,1,0.0
551,Pyu,Extinct,Myanmar,0.0,1,0.0
1549,Quapaw,Extinct,United States of America,0.0,1,0.0
791,Quileute,Extinct,United States of America,0.0,1,0.0
87,Qwarenya,Extinct,Ethiopia,0.0,1,0.0
443,Rangkas,Extinct,India,0.0,1,0.0
644,Ubykh (Caucasus),Extinct,Russian Federation,0.0,1,0.0
1062,Ubykh (Turkey),Extinct,Turkey,0.0,1,0.0
662,Vilela,Extinct,Argentina,0.0,1,0.0
560,Taman,Extinct,Myanmar,0.0,1,0.0
2568,Tandia,Extinct,Indonesia,0.0,1,0.0
2043,Taokas,Extinct,China,0.0,1,0.0
2612,Te'un (Te'un Island),Extinct,Indonesia,0.0,1,0.0
2064,Tetete,Extinct,Ecuador,0.0,1,0.0
